Vendor,device_type,model,mac_address,serial_number,band_type
Huawei,Router,Archer C6,AA:BB:3E:00:03:3E,SN-Router-00830,single_band
Nokia,Modem,MB8600,AA:BB:3F:00:03:3F,SN-Modem-00831,dual_band
ZTE,Access Point,EAP225,AA:BB:40:00:03:40,SN-AccessPoint-00832,single_band
TP-Link,Switch,SG108,AA:BB:41:00:03:41,SN-Switch-00833,dual_band
Cisco,ONT,HG8145V5,AA:BB:42:00:03:42,SN-ONT-00834,single_band
Huawei,ONU,G-140W-C,AA:BB:43:00:03:43,SN-ONU-00835,dual_band
Nokia,Router,Archer C6,AA:BB:44:00:03:44,SN-Router-00836,single_band
ZTE,Modem,MB8600,AA:BB:45:00:03:45,SN-Modem-00837,dual_band
TP-Link,Access Point,EAP225,AA:BB:46:00:03:46,SN-AccessPoint-00838,single_band
Cisco,Switch,SG108,AA:BB:47:00:03:47,SN-Switch-00839,dual_band
Huawei,ONT,HG8145V5,AA:BB:48:00:03:48,SN-ONT-00840,single_band
Nokia,ONU,G-140W-C,AA:BB:49:00:03:49,SN-ONU-00841,dual_band
ZTE,Router,Archer C6,AA:BB:4A:00:03:4A,SN-Router-00842,single_band
TP-Link,Modem,MB8600,AA:BB:4B:00:03:4B,SN-Modem-00843,dual_band
Cisco,Access Point,EAP225,AA:BB:4C:00:03:4C,SN-AccessPoint-00844,single_band
Huawei,Switch,SG108,AA:BB:4D:00:03:4D,SN-Switch-00845,dual_band
Nokia,ONT,HG8145V5,AA:BB:4E:00:03:4E,SN-ONT-00846,single_band
ZTE,ONU,G-140W-C,AA:BB:4F:00:03:4F,SN-ONU-00847,dual_band
TP-Link,Router,Archer C6,AA:BB:50:00:03:50,SN-Router-00848,single_band
Cisco,Modem,MB8600,AA:BB:51:00:03:51,SN-Modem-00849,dual_band
Huawei,Access Point,EAP225,AA:BB:52:00:03:52,SN-AccessPoint-00850,single_band
Nokia,Switch,SG108,AA:BB:53:00:03:53,SN-Switch-00851,dual_band
ZTE,ONT,HG8145V5,AA:BB:54:00:03:54,SN-ONT-00852,single_band
TP-Link,ONU,G-140W-C,AA:BB:55:00:03:55,SN-ONU-00853,dual_band
Cisco,Router,Archer C6,AA:BB:56:00:03:56,SN-Router-00854,single_band
Huawei,Modem,MB8600,AA:BB:57:00:03:57,SN-Modem-00855,dual_band
Nokia,Access Point,EAP225,AA:BB:58:00:03:58,SN-AccessPoint-00856,single_band
ZTE,Switch,SG108,AA:BB:59:00:03:59,SN-Switch-00857,dual_band
TP-Link,ONT,HG8145V5,AA:BB:5A:00:03:5A,SN-ONT-00858,single_band
Cisco,ONU,G-140W-C,AA:BB:5B:00:03:5B,SN-ONU-00859,dual_band
Huawei,Router,Archer C6,AA:BB:5C:00:03:5C,SN-Router-00860,single_band
Nokia,Modem,MB8600,AA:BB:5D:00:03:5D,SN-Modem-00861,dual_band
ZTE,Access Point,EAP225,AA:BB:5E:00:03:5E,SN-AccessPoint-00862,single_band
TP-Link,Switch,SG108,AA:BB:5F:00:03:5F,SN-Switch-00863,dual_band
Cisco,ONT,HG8145V5,AA:BB:60:00:03:60,SN-ONT-00864,single_band
Huawei,ONU,G-140W-C,AA:BB:61:00:03:61,SN-ONU-00865,dual_band
Nokia,Router,Archer C6,AA:BB:62:00:03:62,SN-Router-00866,single_band
ZTE,Modem,MB8600,AA:BB:63:00:03:63,SN-Modem-00867,dual_band
TP-Link,Access Point,EAP225,AA:BB:64:00:03:64,SN-AccessPoint-00868,single_band
Cisco,Switch,SG108,AA:BB:65:00:03:65,SN-Switch-00869,dual_band
Huawei,ONT,HG8145V5,AA:BB:66:00:03:66,SN-ONT-00870,single_band
Nokia,ONU,G-140W-C,AA:BB:67:00:03:67,SN-ONU-00871,dual_band
ZTE,Router,Archer C6,AA:BB:68:00:03:68,SN-Router-00872,single_band
TP-Link,Modem,MB8600,AA:BB:69:00:03:69,SN-Modem-00873,dual_band
Cisco,Access Point,EAP225,AA:BB:6A:00:03:6A,SN-AccessPoint-00874,single_band
Huawei,Switch,SG108,AA:BB:6B:00:03:6B,SN-Switch-00875,dual_band
Nokia,ONT,HG8145V5,AA:BB:6C:00:03:6C,SN-ONT-00876,single_band
ZTE,ONU,G-140W-C,AA:BB:6D:00:03:6D,SN-ONU-00877,dual_band
TP-Link,Router,Archer C6,AA:BB:6E:00:03:6E,SN-Router-00878,single_band
Cisco,Modem,MB8600,AA:BB:6F:00:03:6F,SN-Modem-00879,dual_band
Huawei,Access Point,EAP225,AA:BB:70:00:03:70,SN-AccessPoint-00880,single_band
Nokia,Switch,SG108,AA:BB:71:00:03:71,SN-Switch-00881,dual_band
ZTE,ONT,HG8145V5,AA:BB:72:00:03:72,SN-ONT-00882,single_band
TP-Link,ONU,G-140W-C,AA:BB:73:00:03:73,SN-ONU-00883,dual_band
Cisco,Router,Archer C6,AA:BB:74:00:03:74,SN-Router-00884,single_band
Huawei,Modem,MB8600,AA:BB:75:00:03:75,SN-Modem-00885,dual_band
Nokia,Access Point,EAP225,AA:BB:76:00:03:76,SN-AccessPoint-00886,single_band
ZTE,Switch,SG108,AA:BB:77:00:03:77,SN-Switch-00887,dual_band
TP-Link,ONT,HG8145V5,AA:BB:78:00:03:78,SN-ONT-00888,single_band
Cisco,ONU,G-140W-C,AA:BB:79:00:03:79,SN-ONU-00889,dual_band
Huawei,Router,Archer C6,AA:BB:7A:00:03:7A,SN-Router-00890,single_band
Nokia,Modem,MB8600,AA:BB:7B:00:03:7B,SN-Modem-00891,dual_band
ZTE,Access Point,EAP225,AA:BB:7C:00:03:7C,SN-AccessPoint-00892,single_band
TP-Link,Switch,SG108,AA:BB:7D:00:03:7D,SN-Switch-00893,dual_band
Cisco,ONT,HG8145V5,AA:BB:7E:00:03:7E,SN-ONT-00894,single_band
Huawei,ONU,G-140W-C,AA:BB:7F:00:03:7F,SN-ONU-00895,dual_band
Nokia,Router,Archer C6,AA:BB:80:00:04:80,SN-Router-00896,single_band
ZTE,Modem,MB8600,AA:BB:81:00:04:81,SN-Modem-00897,dual_band
TP-Link,Access Point,EAP225,AA:BB:82:00:04:82,SN-AccessPoint-00898,single_band
Cisco,Switch,SG108,AA:BB:83:00:04:83,SN-Switch-00899,dual_band
Huawei,ONT,HG8145V5,AA:BB:84:00:04:84,SN-ONT-00900,single_band
Nokia,ONU,G-140W-C,AA:BB:85:00:04:85,SN-ONU-00901,dual_band
ZTE,Router,Archer C6,AA:BB:86:00:04:86,SN-Router-00902,single_band
TP-Link,Modem,MB8600,AA:BB:87:00:04:87,SN-Modem-00903,dual_band
Cisco,Access Point,EAP225,AA:BB:88:00:04:88,SN-AccessPoint-00904,single_band
Huawei,Switch,SG108,AA:BB:89:00:04:89,SN-Switch-00905,dual_band
Nokia,ONT,HG8145V5,AA:BB:8A:00:04:8A,SN-ONT-00906,single_band
ZTE,ONU,G-140W-C,AA:BB:8B:00:04:8B,SN-ONU-00907,dual_band
TP-Link,Router,Archer C6,AA:BB:8C:00:04:8C,SN-Router-00908,single_band
Cisco,Modem,MB8600,AA:BB:8D:00:04:8D,SN-Modem-00909,dual_band
Huawei,Access Point,EAP225,AA:BB:8E:00:04:8E,SN-AccessPoint-00910,single_band
Nokia,Switch,SG108,AA:BB:8F:00:04:8F,SN-Switch-00911,dual_band
ZTE,ONT,HG8145V5,AA:BB:90:00:04:90,SN-ONT-00912,single_band
TP-Link,ONU,G-140W-C,AA:BB:91:00:04:91,SN-ONU-00913,dual_band
Cisco,Router,Archer C6,AA:BB:92:00:04:92,SN-Router-00914,single_band
Huawei,Modem,MB8600,AA:BB:93:00:04:93,SN-Modem-00915,dual_band
Nokia,Access Point,EAP225,AA:BB:94:00:04:94,SN-AccessPoint-00916,single_band
ZTE,Switch,SG108,AA:BB:95:00:04:95,SN-Switch-00917,dual_band
TP-Link,ONT,HG8145V5,AA:BB:96:00:04:96,SN-ONT-00918,single_band
Cisco,ONU,G-140W-C,AA:BB:97:00:04:97,SN-ONU-00919,dual_band
Huawei,Router,Archer C6,AA:BB:98:00:04:98,SN-Router-00920,single_band
Nokia,Modem,MB8600,AA:BB:99:00:04:99,SN-Modem-00921,dual_band
ZTE,Access Point,EAP225,AA:BB:9A:00:04:9A,SN-AccessPoint-00922,single_band
TP-Link,Switch,SG108,AA:BB:9B:00:04:9B,SN-Switch-00923,dual_band
Cisco,ONT,HG8145V5,AA:BB:9C:00:04:9C,SN-ONT-00924,single_band
Huawei,ONU,G-140W-C,AA:BB:9D:00:04:9D,SN-ONU-00925,dual_band
Nokia,Router,Archer C6,AA:BB:9E:00:04:9E,SN-Router-00926,single_band
ZTE,Modem,MB8600,AA:BB:9F:00:04:9F,SN-Modem-00927,dual_band
TP-Link,Access Point,EAP225,AA:BB:A0:00:04:A0,SN-AccessPoint-00928,single_band
Cisco,Switch,SG108,AA:BB:A1:00:04:A1,SN-Switch-00929,dual_band
Huawei,ONT,HG8145V5,AA:BB:A2:00:04:A2,SN-ONT-00930,single_band
Nokia,ONU,G-140W-C,AA:BB:A3:00:04:A3,SN-ONU-00931,dual_band
ZTE,Router,Archer C6,AA:BB:A4:00:04:A4,SN-Router-00932,single_band
TP-Link,Modem,MB8600,AA:BB:A5:00:04:A5,SN-Modem-00933,dual_band
Cisco,Access Point,EAP225,AA:BB:A6:00:04:A6,SN-AccessPoint-00934,single_band
Huawei,Switch,SG108,AA:BB:A7:00:04:A7,SN-Switch-00935,dual_band
Nokia,ONT,HG8145V5,AA:BB:A8:00:04:A8,SN-ONT-00936,single_band
ZTE,ONU,G-140W-C,AA:BB:A9:00:04:A9,SN-ONU-00937,dual_band
TP-Link,Router,Archer C6,AA:BB:AA:00:04:AA,SN-Router-00938,single_band
Cisco,Modem,MB8600,AA:BB:AB:00:04:AB,SN-Modem-00939,dual_band
Huawei,Access Point,EAP225,AA:BB:AC:00:04:AC,SN-AccessPoint-00940,single_band
Nokia,Switch,SG108,AA:BB:AD:00:04:AD,SN-Switch-00941,dual_band
ZTE,ONT,HG8145V5,AA:BB:AE:00:04:AE,SN-ONT-00942,single_band
TP-Link,ONU,G-140W-C,AA:BB:AF:00:04:AF,SN-ONU-00943,dual_band
Cisco,Router,Archer C6,AA:BB:B0:00:04:B0,SN-Router-00944,single_band
Huawei,Modem,MB8600,AA:BB:B1:00:04:B1,SN-Modem-00945,dual_band
Nokia,Access Point,EAP225,AA:BB:B2:00:04:B2,SN-AccessPoint-00946,single_band
ZTE,Switch,SG108,AA:BB:B3:00:04:B3,SN-Switch-00947,dual_band
TP-Link,ONT,HG8145V5,AA:BB:B4:00:04:B4,SN-ONT-00948,single_band
Cisco,ONU,G-140W-C,AA:BB:B5:00:04:B5,SN-ONU-00949,dual_band
Huawei,Router,Archer C6,AA:BB:B6:00:04:B6,SN-Router-00950,single_band
Nokia,Modem,MB8600,AA:BB:B7:00:04:B7,SN-Modem-00951,dual_band
ZTE,Access Point,EAP225,AA:BB:B8:00:04:B8,SN-AccessPoint-00952,single_band
TP-Link,Switch,SG108,AA:BB:B9:00:04:B9,SN-Switch-00953,dual_band
Cisco,ONT,HG8145V5,AA:BB:BA:00:04:BA,SN-ONT-00954,single_band
Huawei,ONU,G-140W-C,AA:BB:BB:00:04:BB,SN-ONU-00955,dual_band
Nokia,Router,Archer C6,AA:BB:BC:00:04:BC,SN-Router-00956,single_band
ZTE,Modem,MB8600,AA:BB:BD:00:04:BD,SN-Modem-00957,dual_band
TP-Link,Access Point,EAP225,AA:BB:BE:00:04:BE,SN-AccessPoint-00958,single_band
Cisco,Switch,SG108,AA:BB:BF:00:04:BF,SN-Switch-00959,dual_band
Huawei,ONT,HG8145V5,AA:BB:C0:00:04:C0,SN-ONT-00960,single_band
Nokia,ONU,G-140W-C,AA:BB:C1:00:04:C1,SN-ONU-00961,dual_band
ZTE,Router,Archer C6,AA:BB:C2:00:04:C2,SN-Router-00962,single_band
TP-Link,Modem,MB8600,AA:BB:C3:00:04:C3,SN-Modem-00963,dual_band
Cisco,Access Point,EAP225,AA:BB:C4:00:04:C4,SN-AccessPoint-00964,single_band
Huawei,Switch,SG108,AA:BB:C5:00:04:C5,SN-Switch-00965,dual_band
Nokia,ONT,HG8145V5,AA:BB:C6:00:04:C6,SN-ONT-00966,single_band
ZTE,ONU,G-140W-C,AA:BB:C7:00:04:C7,SN-ONU-00967,dual_band
TP-Link,Router,Archer C6,AA:BB:C8:00:04:C8,SN-Router-00968,single_band
Cisco,Modem,MB8600,AA:BB:C9:00:04:C9,SN-Modem-00969,dual_band
Huawei,Access Point,EAP225,AA:BB:CA:00:04:CA,SN-AccessPoint-00970,single_band
Nokia,Switch,SG108,AA:BB:CB:00:04:CB,SN-Switch-00971,dual_band
ZTE,ONT,HG8145V5,AA:BB:CC:00:04:CC,SN-ONT-00972,single_band
TP-Link,ONU,G-140W-C,AA:BB:CD:00:04:CD,SN-ONU-00973,dual_band
Cisco,Router,Archer C6,AA:BB:CE:00:04:CE,SN-Router-00974,single_band
Huawei,Modem,MB8600,AA:BB:CF:00:04:CF,SN-Modem-00975,dual_band
Nokia,Access Point,EAP225,AA:BB:D0:00:04:D0,SN-AccessPoint-00976,single_band
ZTE,Switch,SG108,AA:BB:D1:00:04:D1,SN-Switch-00977,dual_band
TP-Link,ONT,HG8145V5,AA:BB:D2:00:04:D2,SN-ONT-00978,single_band
Cisco,ONU,G-140W-C,AA:BB:D3:00:04:D3,SN-ONU-00979,dual_band
Huawei,Router,Archer C6,AA:BB:D4:00:04:D4,SN-Router-00980,single_band
Nokia,Modem,MB8600,AA:BB:D5:00:04:D5,SN-Modem-00981,dual_band
ZTE,Access Point,EAP225,AA:BB:D6:00:04:D6,SN-AccessPoint-00982,single_band
TP-Link,Switch,SG108,AA:BB:D7:00:04:D7,SN-Switch-00983,dual_band
Cisco,ONT,HG8145V5,AA:BB:D8:00:04:D8,SN-ONT-00984,single_band
Huawei,ONU,G-140W-C,AA:BB:D9:00:04:D9,SN-ONU-00985,dual_band
Nokia,Router,Archer C6,AA:BB:DA:00:04:DA,SN-Router-00986,single_band
ZTE,Modem,MB8600,AA:BB:DB:00:04:DB,SN-Modem-00987,dual_band
TP-Link,Access Point,EAP225,AA:BB:DC:00:04:DC,SN-AccessPoint-00988,single_band
Cisco,Switch,SG108,AA:BB:DD:00:04:DD,SN-Switch-00989,dual_band
Huawei,ONT,HG8145V5,AA:BB:DE:00:04:DE,SN-ONT-00990,single_band
Nokia,ONU,G-140W-C,AA:BB:DF:00:04:DF,SN-ONU-00991,dual_band
ZTE,Router,Archer C6,AA:BB:E0:00:04:E0,SN-Router-00992,single_band
TP-Link,Modem,MB8600,AA:BB:E1:00:04:E1,SN-Modem-00993,dual_band
Cisco,Access Point,EAP225,AA:BB:E2:00:04:E2,SN-AccessPoint-00994,single_band
Huawei,Switch,SG108,AA:BB:E3:00:04:E3,SN-Switch-00995,dual_band
Nokia,ONT,HG8145V5,AA:BB:E4:00:04:E4,SN-ONT-00996,single_band
ZTE,ONU,G-140W-C,AA:BB:E5:00:04:E5,SN-ONU-00997,dual_band
TP-Link,Router,Archer C6,AA:BB:E6:00:04:E6,SN-Router-00998,single_band
Cisco,Modem,MB8600,AA:BB:E7:00:04:E7,SN-Modem-00999,dual_band
Huawei,Access Point,EAP225,AA:BB:E8:00:04:E8,SN-AccessPoint-01000,single_band
Nokia,Switch,SG108,AA:BB:E9:00:04:E9,SN-Switch-01001,dual_band
ZTE,ONT,HG8145V5,AA:BB:EA:00:04:EA,SN-ONT-01002,single_band
TP-Link,ONU,G-140W-C,AA:BB:EB:00:04:EB,SN-ONU-01003,dual_band
Cisco,Router,Archer C6,AA:BB:EC:00:04:EC,SN-Router-01004,single_band
Huawei,Modem,MB8600,AA:BB:ED:00:04:ED,SN-Modem-01005,dual_band
Nokia,Access Point,EAP225,AA:BB:EE:00:04:EE,SN-AccessPoint-01006,single_band
ZTE,Switch,SG108,AA:BB:EF:00:04:EF,SN-Switch-01007,dual_band
TP-Link,ONT,HG8145V5,AA:BB:F0:00:04:F0,SN-ONT-01008,single_band
Cisco,ONU,G-140W-C,AA:BB:F1:00:04:F1,SN-ONU-01009,dual_band
Huawei,Router,Archer C6,AA:BB:F2:00:04:F2,SN-Router-01010,single_band
Nokia,Modem,MB8600,AA:BB:F3:00:04:F3,SN-Modem-01011,dual_band
ZTE,Access Point,EAP225,AA:BB:F4:00:04:F4,SN-AccessPoint-01012,single_band
TP-Link,Switch,SG108,AA:BB:F5:00:04:F5,SN-Switch-01013,dual_band
Cisco,ONT,HG8145V5,AA:BB:F6:00:04:F6,SN-ONT-01014,single_band
Huawei,ONU,G-140W-C,AA:BB:F7:00:04:F7,SN-ONU-01015,dual_band
Nokia,Router,Archer C6,AA:BB:F8:00:04:F8,SN-Router-01016,single_band
ZTE,Modem,MB8600,AA:BB:F9:00:04:F9,SN-Modem-01017,dual_band
TP-Link,Access Point,EAP225,AA:BB:FA:00:04:FA,SN-AccessPoint-01018,single_band
Cisco,Switch,SG108,AA:BB:FB:00:04:FB,SN-Switch-01019,dual_band
Huawei,ONT,HG8145V5,AA:BB:FC:00:04:FC,SN-ONT-01020,single_band
Nokia,ONU,G-140W-C,AA:BB:FD:00:04:FD,SN-ONU-01021,dual_band
ZTE,Router,Archer C6,AA:BB:FE:00:04:FE,SN-Router-01022,single_band
TP-Link,Modem,MB8600,AA:BB:FF:00:04:FF,SN-Modem-01023,dual_band
Cisco,Access Point,EAP225,AA:BB:00:00:04:00,SN-AccessPoint-01024,single_band
Huawei,Switch,SG108,AA:BB:01:00:04:01,SN-Switch-01025,dual_band
Nokia,ONT,HG8145V5,AA:BB:02:00:04:02,SN-ONT-01026,single_band
ZTE,ONU,G-140W-C,AA:BB:03:00:04:03,SN-ONU-01027,dual_band
TP-Link,Router,Archer C6,AA:BB:04:00:04:04,SN-Router-01028,single_band
Cisco,Modem,MB8600,AA:BB:05:00:04:05,SN-Modem-01029,dual_band
Huawei,Access Point,EAP225,AA:BB:06:00:04:06,SN-AccessPoint-01030,single_band
Nokia,Switch,SG108,AA:BB:07:00:04:07,SN-Switch-01031,dual_band
ZTE,ONT,HG8145V5,AA:BB:08:00:04:08,SN-ONT-01032,single_band
TP-Link,ONU,G-140W-C,AA:BB:09:00:04:09,SN-ONU-01033,dual_band
Cisco,Router,Archer C6,AA:BB:0A:00:04:0A,SN-Router-01034,single_band
Huawei,Modem,MB8600,AA:BB:0B:00:04:0B,SN-Modem-01035,dual_band
Nokia,Access Point,EAP225,AA:BB:0C:00:04:0C,SN-AccessPoint-01036,single_band
ZTE,Switch,SG108,AA:BB:0D:00:04:0D,SN-Switch-01037,dual_band
TP-Link,ONT,HG8145V5,AA:BB:0E:00:04:0E,SN-ONT-01038,single_band
Cisco,ONU,G-140W-C,AA:BB:0F:00:04:0F,SN-ONU-01039,dual_band
Huawei,Router,Archer C6,AA:BB:10:00:04:10,SN-Router-01040,single_band
Nokia,Modem,MB8600,AA:BB:11:00:04:11,SN-Modem-01041,dual_band
ZTE,Access Point,EAP225,AA:BB:12:00:04:12,SN-AccessPoint-01042,single_band
TP-Link,Switch,SG108,AA:BB:13:00:04:13,SN-Switch-01043,dual_band
Cisco,ONT,HG8145V5,AA:BB:14:00:04:14,SN-ONT-01044,single_band
Huawei,ONU,G-140W-C,AA:BB:15:00:04:15,SN-ONU-01045,dual_band
Nokia,Router,Archer C6,AA:BB:16:00:04:16,SN-Router-01046,single_band
ZTE,Modem,MB8600,AA:BB:17:00:04:17,SN-Modem-01047,dual_band
TP-Link,Access Point,EAP225,AA:BB:18:00:04:18,SN-AccessPoint-01048,single_band
Cisco,Switch,SG108,AA:BB:19:00:04:19,SN-Switch-01049,dual_band
Huawei,ONT,HG8145V5,AA:BB:1A:00:04:1A,SN-ONT-01050,single_band
Nokia,ONU,G-140W-C,AA:BB:1B:00:04:1B,SN-ONU-01051,dual_band
ZTE,Router,Archer C6,AA:BB:1C:00:04:1C,SN-Router-01052,single_band
TP-Link,Modem,MB8600,AA:BB:1D:00:04:1D,SN-Modem-01053,dual_band
Cisco,Access Point,EAP225,AA:BB:1E:00:04:1E,SN-AccessPoint-01054,single_band
Huawei,Switch,SG108,AA:BB:1F:00:04:1F,SN-Switch-01055,dual_band
Nokia,ONT,HG8145V5,AA:BB:20:00:04:20,SN-ONT-01056,single_band
ZTE,ONU,G-140W-C,AA:BB:21:00:04:21,SN-ONU-01057,dual_band
TP-Link,Router,Archer C6,AA:BB:22:00:04:22,SN-Router-01058,single_band
Cisco,Modem,MB8600,AA:BB:23:00:04:23,SN-Modem-01059,dual_band
Huawei,Access Point,EAP225,AA:BB:24:00:04:24,SN-AccessPoint-01060,single_band
Nokia,Switch,SG108,AA:BB:25:00:04:25,SN-Switch-01061,dual_band
ZTE,ONT,HG8145V5,AA:BB:26:00:04:26,SN-ONT-01062,single_band
TP-Link,ONU,G-140W-C,AA:BB:27:00:04:27,SN-ONU-01063,dual_band
Cisco,Router,Archer C6,AA:BB:28:00:04:28,SN-Router-01064,single_band
Huawei,Modem,MB8600,AA:BB:29:00:04:29,SN-Modem-01065,dual_band
Nokia,Access Point,EAP225,AA:BB:2A:00:04:2A,SN-AccessPoint-01066,single_band
ZTE,Switch,SG108,AA:BB:2B:00:04:2B,SN-Switch-01067,dual_band
TP-Link,ONT,HG8145V5,AA:BB:2C:00:04:2C,SN-ONT-01068,single_band
Cisco,ONU,G-140W-C,AA:BB:2D:00:04:2D,SN-ONU-01069,dual_band
Huawei,Router,Archer C6,AA:BB:2E:00:04:2E,SN-Router-01070,single_band
Nokia,Modem,MB8600,AA:BB:2F:00:04:2F,SN-Modem-01071,dual_band
ZTE,Access Point,EAP225,AA:BB:30:00:04:30,SN-AccessPoint-01072,single_band
TP-Link,Switch,SG108,AA:BB:31:00:04:31,SN-Switch-01073,dual_band
Cisco,ONT,HG8145V5,AA:BB:32:00:04:32,SN-ONT-01074,single_band
Huawei,ONU,G-140W-C,AA:BB:33:00:04:33,SN-ONU-01075,dual_band
Nokia,Router,Archer C6,AA:BB:34:00:04:34,SN-Router-01076,single_band
ZTE,Modem,MB8600,AA:BB:35:00:04:35,SN-Modem-01077,dual_band
TP-Link,Access Point,EAP225,AA:BB:36:00:04:36,SN-AccessPoint-01078,single_band
Cisco,Switch,SG108,AA:BB:37:00:04:37,SN-Switch-01079,dual_band
Huawei,ONT,HG8145V5,AA:BB:38:00:04:38,SN-ONT-01080,single_band
Nokia,ONU,G-140W-C,AA:BB:39:00:04:39,SN-ONU-01081,dual_band
ZTE,Router,Archer C6,AA:BB:3A:00:04:3A,SN-Router-01082,single_band
TP-Link,Modem,MB8600,AA:BB:3B:00:04:3B,SN-Modem-01083,dual_band
Cisco,Access Point,EAP225,AA:BB:3C:00:04:3C,SN-AccessPoint-01084,single_band
Huawei,Switch,SG108,AA:BB:3D:00:04:3D,SN-Switch-01085,dual_band
Nokia,ONT,HG8145V5,AA:BB:3E:00:04:3E,SN-ONT-01086,single_band
ZTE,ONU,G-140W-C,AA:BB:3F:00:04:3F,SN-ONU-01087,dual_band
TP-Link,Router,Archer C6,AA:BB:40:00:04:40,SN-Router-01088,single_band
Cisco,Modem,MB8600,AA:BB:41:00:04:41,SN-Modem-01089,dual_band
Huawei,Access Point,EAP225,AA:BB:42:00:04:42,SN-AccessPoint-01090,single_band
Nokia,Switch,SG108,AA:BB:43:00:04:43,SN-Switch-01091,dual_band
ZTE,ONT,HG8145V5,AA:BB:44:00:04:44,SN-ONT-01092,single_band
TP-Link,ONU,G-140W-C,AA:BB:45:00:04:45,SN-ONU-01093,dual_band
Cisco,Router,Archer C6,AA:BB:46:00:04:46,SN-Router-01094,single_band
Huawei,Modem,MB8600,AA:BB:47:00:04:47,SN-Modem-01095,dual_band
Nokia,Access Point,EAP225,AA:BB:48:00:04:48,SN-AccessPoint-01096,single_band
ZTE,Switch,SG108,AA:BB:49:00:04:49,SN-Switch-01097,dual_band
TP-Link,ONT,HG8145V5,AA:BB:4A:00:04:4A,SN-ONT-01098,single_band
Cisco,ONU,G-140W-C,AA:BB:4B:00:04:4B,SN-ONU-01099,dual_band
Huawei,Router,Archer C6,AA:BB:4C:00:04:4C,SN-Router-01100,single_band
Nokia,Modem,MB8600,AA:BB:4D:00:04:4D,SN-Modem-01101,dual_band
ZTE,Access Point,EAP225,AA:BB:4E:00:04:4E,SN-AccessPoint-01102,single_band
TP-Link,Switch,SG108,AA:BB:4F:00:04:4F,SN-Switch-01103,dual_band
Cisco,ONT,HG8145V5,AA:BB:50:00:04:50,SN-ONT-01104,single_band
Huawei,ONU,G-140W-C,AA:BB:51:00:04:51,SN-ONU-01105,dual_band
Nokia,Router,Archer C6,AA:BB:52:00:04:52,SN-Router-01106,single_band
ZTE,Modem,MB8600,AA:BB:53:00:04:53,SN-Modem-01107,dual_band
TP-Link,Access Point,EAP225,AA:BB:54:00:04:54,SN-AccessPoint-01108,single_band
Cisco,Switch,SG108,AA:BB:55:00:04:55,SN-Switch-01109,dual_band
Huawei,ONT,HG8145V5,AA:BB:56:00:04:56,SN-ONT-01110,single_band
Nokia,ONU,G-140W-C,AA:BB:57:00:04:57,SN-ONU-01111,dual_band
ZTE,Router,Archer C6,AA:BB:58:00:04:58,SN-Router-01112,single_band
TP-Link,Modem,MB8600,AA:BB:59:00:04:59,SN-Modem-01113,dual_band
Cisco,Access Point,EAP225,AA:BB:5A:00:04:5A,SN-AccessPoint-01114,single_band
Huawei,Switch,SG108,AA:BB:5B:00:04:5B,SN-Switch-01115,dual_band
Nokia,ONT,HG8145V5,AA:BB:5C:00:04:5C,SN-ONT-01116,single_band
ZTE,ONU,G-140W-C,AA:BB:5D:00:04:5D,SN-ONU-01117,dual_band
TP-Link,Router,Archer C6,AA:BB:5E:00:04:5E,SN-Router-01118,single_band
Cisco,Modem,MB8600,AA:BB:5F:00:04:5F,SN-Modem-01119,dual_band
Huawei,Access Point,EAP225,AA:BB:60:00:04:60,SN-AccessPoint-01120,single_band
Nokia,Switch,SG108,AA:BB:61:00:04:61,SN-Switch-01121,dual_band
ZTE,ONT,HG8145V5,AA:BB:62:00:04:62,SN-ONT-01122,single_band
TP-Link,ONU,G-140W-C,AA:BB:63:00:04:63,SN-ONU-01123,dual_band
Cisco,Router,Archer C6,AA:BB:64:00:04:64,SN-Router-01124,single_band
Huawei,Modem,MB8600,AA:BB:65:00:04:65,SN-Modem-01125,dual_band
Nokia,Access Point,EAP225,AA:BB:66:00:04:66,SN-AccessPoint-01126,single_band
ZTE,Switch,SG108,AA:BB:67:00:04:67,SN-Switch-01127,dual_band
TP-Link,ONT,HG8145V5,AA:BB:68:00:04:68,SN-ONT-01128,single_band
Cisco,ONU,G-140W-C,AA:BB:69:00:04:69,SN-ONU-01129,dual_band
Huawei,Router,Archer C6,AA:BB:6A:00:04:6A,SN-Router-01130,single_band
Nokia,Modem,MB8600,AA:BB:6B:00:04:6B,SN-Modem-01131,dual_band
ZTE,Access Point,EAP225,AA:BB:6C:00:04:6C,SN-AccessPoint-01132,single_band
TP-Link,Switch,SG108,AA:BB:6D:00:04:6D,SN-Switch-01133,dual_band
Cisco,ONT,HG8145V5,AA:BB:6E:00:04:6E,SN-ONT-01134,single_band
Huawei,ONU,G-140W-C,AA:BB:6F:00:04:6F,SN-ONU-01135,dual_band
Nokia,Router,Archer C6,AA:BB:70:00:04:70,SN-Router-01136,single_band
ZTE,Modem,MB8600,AA:BB:71:00:04:71,SN-Modem-01137,dual_band
TP-Link,Access Point,EAP225,AA:BB:72:00:04:72,SN-AccessPoint-01138,single_band
Cisco,Switch,SG108,AA:BB:73:00:04:73,SN-Switch-01139,dual_band
Huawei,ONT,HG8145V5,AA:BB:74:00:04:74,SN-ONT-01140,single_band
