vendor,device_type,model,nuid,box_type
Nokia,SB,SB-Pro,NUID-SB-000498,OTT
Skyworth,SB,VisionBox,NUID-SB-000499,HD
Airtel,SB,OTT-Max,NUID-SB-000500,OTT
Huawei,SB,SBX-100,NUID-SB-000501,HD
ZTE,SB,SBX-200,NUID-SB-000502,OTT
Nokia,SB,SB-Pro,NUID-SB-000503,HD
Skyworth,SB,VisionBox,NUID-SB-000504,OTT
Airtel,SB,OTT-Max,NUID-SB-000505,HD
Huawei,SB,SBX-100,NUID-SB-000506,OTT
ZTE,SB,SBX-200,NUID-SB-000507,HD
Nokia,SB,SB-Pro,NUID-SB-000508,OTT
Skyworth,SB,VisionBox,NUID-SB-000509,HD
Airtel,SB,OTT-Max,NUID-SB-000510,OTT
Huawei,SB,SBX-100,NUID-SB-000511,HD
ZTE,SB,SBX-200,NUID-SB-000512,OTT
Nokia,SB,SB-Pro,NUID-SB-000513,HD
Skyworth,SB,VisionBox,NUID-SB-000514,OTT
Airtel,SB,OTT-Max,NUID-SB-000515,HD
Huawei,SB,SBX-100,NUID-SB-000516,OTT
ZTE,SB,SBX-200,NUID-SB-000517,HD
Nokia,SB,SB-Pro,NUID-SB-000518,OTT
Skyworth,SB,VisionBox,NUID-SB-000519,HD
Airtel,SB,OTT-Max,NUID-SB-000520,OTT
Huawei,SB,SBX-100,NUID-SB-000521,HD
ZTE,SB,SBX-200,NUID-SB-000522,OTT
Nokia,SB,SB-Pro,NUID-SB-000523,HD
Skyworth,SB,VisionBox,NUID-SB-000524,OTT
Airtel,SB,OTT-Max,NUID-SB-000525,HD
Huawei,SB,SBX-100,NUID-SB-000526,OTT
ZTE,SB,SBX-200,NUID-SB-000527,HD
Nokia,SB,SB-Pro,NUID-SB-000528,OTT
Skyworth,SB,VisionBox,NUID-SB-000529,HD
Airtel,SB,OTT-Max,NUID-SB-000530,OTT
Huawei,SB,SBX-100,NUID-SB-000531,HD
ZTE,SB,SBX-200,NUID-SB-000532,OTT
Nokia,SB,SB-Pro,NUID-SB-000533,HD
Skyworth,SB,VisionBox,NUID-SB-000534,OTT
Airtel,SB,OTT-Max,NUID-SB-000535,HD
Huawei,SB,SBX-100,NUID-SB-000536,OTT
ZTE,SB,SBX-200,NUID-SB-000537,HD
Nokia,SB,SB-Pro,NUID-SB-000538,OTT
Skyworth,SB,VisionBox,NUID-SB-000539,HD
Airtel,SB,OTT-Max,NUID-SB-000540,OTT
Huawei,SB,SBX-100,NUID-SB-000541,HD
ZTE,SB,SBX-200,NUID-SB-000542,OTT
Nokia,SB,SB-Pro,NUID-SB-000543,HD
Skyworth,SB,VisionBox,NUID-SB-000544,OTT
Airtel,SB,OTT-Max,NUID-SB-000545,HD
Huawei,SB,SBX-100,NUID-SB-000546,OTT
ZTE,SB,SBX-200,NUID-SB-000547,HD
Nokia,SB,SB-Pro,NUID-SB-000548,OTT
Skyworth,SB,VisionBox,NUID-SB-000549,HD
Airtel,SB,OTT-Max,NUID-SB-000550,OTT
Huawei,SB,SBX-100,NUID-SB-000551,HD
ZTE,SB,SBX-200,NUID-SB-000552,OTT
Nokia,SB,SB-Pro,NUID-SB-000553,HD
Skyworth,SB,VisionBox,NUID-SB-000554,OTT
Airtel,SB,OTT-Max,NUID-SB-000555,HD
Huawei,SB,SBX-100,NUID-SB-000556,OTT
ZTE,SB,SBX-200,NUID-SB-000557,HD
Nokia,SB,SB-Pro,NUID-SB-000558,OTT
Skyworth,SB,VisionBox,NUID-SB-000559,HD
Airtel,SB,OTT-Max,NUID-SB-000560,OTT
Huawei,SB,SBX-100,NUID-SB-000561,HD
ZTE,SB,SBX-200,NUID-SB-000562,OTT
Nokia,SB,SB-Pro,NUID-SB-000563,HD
Skyworth,SB,VisionBox,NUID-SB-000564,OTT
Airtel,SB,OTT-Max,NUID-SB-000565,HD
Huawei,SB,SBX-100,NUID-SB-000566,OTT
ZTE,SB,SBX-200,NUID-SB-000567,HD
Nokia,SB,SB-Pro,NUID-SB-000568,OTT
Skyworth,SB,VisionBox,NUID-SB-000569,HD
Airtel,SB,OTT-Max,NUID-SB-000570,OTT
Huawei,SB,SBX-100,NUID-SB-000571,HD
ZTE,SB,SBX-200,NUID-SB-000572,OTT
Nokia,SB,SB-Pro,NUID-SB-000573,HD
Skyworth,SB,VisionBox,NUID-SB-000574,OTT
Airtel,SB,OTT-Max,NUID-SB-000575,HD
Huawei,SB,SBX-100,NUID-SB-000576,OTT
ZTE,SB,SBX-200,NUID-SB-000577,HD
Nokia,SB,SB-Pro,NUID-SB-000578,OTT
Skyworth,SB,VisionBox,NUID-SB-000579,HD
Airtel,SB,OTT-Max,NUID-SB-000580,OTT
Huawei,SB,SBX-100,NUID-SB-000581,HD
ZTE,SB,SBX-200,NUID-SB-000582,OTT
Nokia,SB,SB-Pro,NUID-SB-000583,HD
Skyworth,SB,VisionBox,NUID-SB-000584,OTT
Airtel,SB,OTT-Max,NUID-SB-000585,HD
Huawei,SB,SBX-100,NUID-SB-000586,OTT
ZTE,SB,SBX-200,NUID-SB-000587,HD
Nokia,SB,SB-Pro,NUID-SB-000588,OTT
Skyworth,SB,VisionBox,NUID-SB-000589,HD
Airtel,SB,OTT-Max,NUID-SB-000590,OTT
Huawei,SB,SBX-100,NUID-SB-000591,HD
ZTE,SB,SBX-200,NUID-SB-000592,OTT
Nokia,SB,SB-Pro,NUID-SB-000593,HD
Skyworth,SB,VisionBox,NUID-SB-000594,OTT
Airtel,SB,OTT-Max,NUID-SB-000595,HD
Huawei,SB,SBX-100,NUID-SB-000596,OTT
ZTE,SB,SBX-200,NUID-SB-000597,HD
Nokia,SB,SB-Pro,NUID-SB-000598,OTT
Skyworth,SB,VisionBox,NUID-SB-000599,HD
Airtel,SB,OTT-Max,NUID-SB-000600,OTT
Huawei,SB,SBX-100,NUID-SB-000601,HD
ZTE,SB,SBX-200,NUID-SB-000602,OTT
Nokia,SB,SB-Pro,NUID-SB-000603,HD
Skyworth,SB,VisionBox,NUID-SB-000604,OTT
Airtel,SB,OTT-Max,NUID-SB-000605,HD
Huawei,SB,SBX-100,NUID-SB-000606,OTT
ZTE,SB,SBX-200,NUID-SB-000607,HD
Nokia,SB,SB-Pro,NUID-SB-000608,OTT
Skyworth,SB,VisionBox,NUID-SB-000609,HD
Airtel,SB,OTT-Max,NUID-SB-000610,OTT
Huawei,SB,SBX-100,NUID-SB-000611,HD
ZTE,SB,SBX-200,NUID-SB-000612,OTT
Nokia,SB,SB-Pro,NUID-SB-000613,HD
Skyworth,SB,VisionBox,NUID-SB-000614,OTT
Airtel,SB,OTT-Max,NUID-SB-000615,HD
Huawei,SB,SBX-100,NUID-SB-000616,OTT
ZTE,SB,SBX-200,NUID-SB-000617,HD
Nokia,SB,SB-Pro,NUID-SB-000618,OTT
Skyworth,SB,VisionBox,NUID-SB-000619,HD
Airtel,SB,OTT-Max,NUID-SB-000620,OTT
Huawei,SB,SBX-100,NUID-SB-000621,HD
ZTE,SB,SBX-200,NUID-SB-000622,OTT
Nokia,SB,SB-Pro,NUID-SB-000623,HD
Skyworth,SB,VisionBox,NUID-SB-000624,OTT
Airtel,SB,OTT-Max,NUID-SB-000625,HD
Huawei,SB,SBX-100,NUID-SB-000626,OTT
ZTE,SB,SBX-200,NUID-SB-000627,HD
Nokia,SB,SB-Pro,NUID-SB-000628,OTT
Skyworth,SB,VisionBox,NUID-SB-000629,HD
Airtel,SB,OTT-Max,NUID-SB-000630,OTT
Huawei,SB,SBX-100,NUID-SB-000631,HD
ZTE,SB,SBX-200,NUID-SB-000632,OTT
Nokia,SB,SB-Pro,NUID-SB-000633,HD
Skyworth,SB,VisionBox,NUID-SB-000634,OTT
Airtel,SB,OTT-Max,NUID-SB-000635,HD
Huawei,SB,SBX-100,NUID-SB-000636,OTT
ZTE,SB,SBX-200,NUID-SB-000637,HD
Nokia,SB,SB-Pro,NUID-SB-000638,OTT
Skyworth,SB,VisionBox,NUID-SB-000639,HD
Airtel,SB,OTT-Max,NUID-SB-000640,OTT
Huawei,SB,SBX-100,NUID-SB-000641,HD
ZTE,SB,SBX-200,NUID-SB-000642,OTT
Nokia,SB,SB-Pro,NUID-SB-000643,HD
Skyworth,SB,VisionBox,NUID-SB-000644,OTT
Airtel,SB,OTT-Max,NUID-SB-000645,HD
Huawei,SB,SBX-100,NUID-SB-000646,OTT
ZTE,SB,SBX-200,NUID-SB-000647,HD
Nokia,SB,SB-Pro,NUID-SB-000648,OTT
Skyworth,SB,VisionBox,NUID-SB-000649,HD
Airtel,SB,OTT-Max,NUID-SB-000650,OTT
Huawei,SB,SBX-100,NUID-SB-000651,HD
ZTE,SB,SBX-200,NUID-SB-000652,OTT
Nokia,SB,SB-Pro,NUID-SB-000653,HD
Skyworth,SB,VisionBox,NUID-SB-000654,OTT
Airtel,SB,OTT-Max,NUID-SB-000655,HD
Huawei,SB,SBX-100,NUID-SB-000656,OTT
ZTE,SB,SBX-200,NUID-SB-000657,HD
Nokia,SB,SB-Pro,NUID-SB-000658,OTT
Skyworth,SB,VisionBox,NUID-SB-000659,HD
Airtel,SB,OTT-Max,NUID-SB-000660,OTT
Huawei,SB,SBX-100,NUID-SB-000661,HD
ZTE,SB,SBX-200,NUID-SB-000662,OTT
Nokia,SB,SB-Pro,NUID-SB-000663,HD
Skyworth,SB,VisionBox,NUID-SB-000664,OTT
Airtel,SB,OTT-Max,NUID-SB-000665,HD
Huawei,SB,SBX-100,NUID-SB-000666,OTT
ZTE,SB,SBX-200,NUID-SB-000667,HD
Nokia,SB,SB-Pro,NUID-SB-000668,OTT
Skyworth,SB,VisionBox,NUID-SB-000669,HD
Airtel,SB,OTT-Max,NUID-SB-000670,OTT
Huawei,SB,SBX-100,NUID-SB-000671,HD
ZTE,SB,SBX-200,NUID-SB-000672,OTT
Nokia,SB,SB-Pro,NUID-SB-000673,HD
Skyworth,SB,VisionBox,NUID-SB-000674,OTT
Airtel,SB,OTT-Max,NUID-SB-000675,HD
Huawei,SB,SBX-100,NUID-SB-000676,OTT
ZTE,SB,SBX-200,NUID-SB-000677,HD
Nokia,SB,SB-Pro,NUID-SB-000678,OTT
Skyworth,SB,VisionBox,NUID-SB-000679,HD
Airtel,SB,OTT-Max,NUID-SB-000680,OTT
Huawei,SB,SBX-100,NUID-SB-000681,HD
ZTE,SB,SBX-200,NUID-SB-000682,OTT
Nokia,SB,SB-Pro,NUID-SB-000683,HD
Skyworth,SB,VisionBox,NUID-SB-000684,OTT
Airtel,SB,OTT-Max,NUID-SB-000685,HD
Huawei,SB,SBX-100,NUID-SB-000686,OTT
ZTE,SB,SBX-200,NUID-SB-000687,HD
Nokia,SB,SB-Pro,NUID-SB-000688,OTT
Skyworth,SB,VisionBox,NUID-SB-000689,HD
Airtel,SB,OTT-Max,NUID-SB-000690,OTT
Huawei,SB,SBX-100,NUID-SB-000691,HD
ZTE,SB,SBX-200,NUID-SB-000692,OTT
Nokia,SB,SB-Pro,NUID-SB-000693,HD
Skyworth,SB,VisionBox,NUID-SB-000694,OTT
Airtel,SB,OTT-Max,NUID-SB-000695,HD
Huawei,SB,SBX-100,NUID-SB-000696,OTT
ZTE,SB,SBX-200,NUID-SB-000697,HD
Nokia,SB,SB-Pro,NUID-SB-000698,OTT
Skyworth,SB,VisionBox,NUID-SB-000699,HD
Airtel,SB,OTT-Max,NUID-SB-000700,OTT
Huawei,SB,SBX-100,NUID-SB-000701,HD
ZTE,SB,SBX-200,NUID-SB-000702,OTT
Nokia,SB,SB-Pro,NUID-SB-000703,HD
Skyworth,SB,VisionBox,NUID-SB-000704,OTT
Airtel,SB,OTT-Max,NUID-SB-000705,HD
Huawei,SB,SBX-100,NUID-SB-000706,OTT
ZTE,SB,SBX-200,NUID-SB-000707,HD
Nokia,SB,SB-Pro,NUID-SB-000708,OTT
Skyworth,SB,VisionBox,NUID-SB-000709,HD
Airtel,SB,OTT-Max,NUID-SB-000710,OTT
Huawei,SB,SBX-100,NUID-SB-000711,HD
ZTE,SB,SBX-200,NUID-SB-000712,OTT
Nokia,SB,SB-Pro,NUID-SB-000713,HD
Skyworth,SB,VisionBox,NUID-SB-000714,OTT
Airtel,SB,OTT-Max,NUID-SB-000715,HD
Huawei,SB,SBX-100,NUID-SB-000716,OTT
ZTE,SB,SBX-200,NUID-SB-000717,HD
Nokia,SB,SB-Pro,NUID-SB-000718,OTT
Skyworth,SB,VisionBox,NUID-SB-000719,HD
Airtel,SB,OTT-Max,NUID-SB-000720,OTT
Huawei,SB,SBX-100,NUID-SB-000721,HD
ZTE,SB,SBX-200,NUID-SB-000722,OTT
Nokia,SB,SB-Pro,NUID-SB-000723,HD
Skyworth,SB,VisionBox,NUID-SB-000724,OTT
Airtel,SB,OTT-Max,NUID-SB-000725,HD
Huawei,SB,SBX-100,NUID-SB-000726,OTT
ZTE,SB,SBX-200,NUID-SB-000727,HD
Nokia,SB,SB-Pro,NUID-SB-000728,OTT
Skyworth,SB,VisionBox,NUID-SB-000729,HD
Airtel,SB,OTT-Max,NUID-SB-000730,OTT
Huawei,SB,SBX-100,NUID-SB-000731,HD
ZTE,SB,SBX-200,NUID-SB-000732,OTT
Nokia,SB,SB-Pro,NUID-SB-000733,HD
Skyworth,SB,VisionBox,NUID-SB-000734,OTT
Airtel,SB,OTT-Max,NUID-SB-000735,HD
Huawei,SB,SBX-100,NUID-SB-000736,OTT
ZTE,SB,SBX-200,NUID-SB-000737,HD
Nokia,SB,SB-Pro,NUID-SB-000738,OTT
Skyworth,SB,VisionBox,NUID-SB-000739,HD
Airtel,SB,OTT-Max,NUID-SB-000740,OTT
Huawei,SB,SBX-100,NUID-SB-000741,HD
ZTE,SB,SBX-200,NUID-SB-000742,OTT
Nokia,SB,SB-Pro,NUID-SB-000743,HD
Skyworth,SB,VisionBox,NUID-SB-000744,OTT
Airtel,SB,OTT-Max,NUID-SB-000745,HD
Huawei,SB,SBX-100,NUID-SB-000746,OTT
ZTE,SB,SBX-200,NUID-SB-000747,HD
Nokia,SB,SB-Pro,NUID-SB-000748,OTT
Skyworth,SB,VisionBox,NUID-SB-000749,HD
Airtel,SB,OTT-Max,NUID-SB-000750,OTT
Huawei,SB,SBX-100,NUID-SB-000751,HD
ZTE,SB,SBX-200,NUID-SB-000752,OTT
Nokia,SB,SB-Pro,NUID-SB-000753,HD
Skyworth,SB,VisionBox,NUID-SB-000754,OTT
Airtel,SB,OTT-Max,NUID-SB-000755,HD
Huawei,SB,SBX-100,NUID-SB-000756,OTT
ZTE,SB,SBX-200,NUID-SB-000757,HD
Nokia,SB,SB-Pro,NUID-SB-000758,OTT
Skyworth,SB,VisionBox,NUID-SB-000759,HD
Airtel,SB,OTT-Max,NUID-SB-000760,OTT
Huawei,SB,SBX-100,NUID-SB-000761,HD
ZTE,SB,SBX-200,NUID-SB-000762,OTT
Nokia,SB,SB-Pro,NUID-SB-000763,HD
Skyworth,SB,VisionBox,NUID-SB-000764,OTT
Airtel,SB,OTT-Max,NUID-SB-000765,HD
Huawei,SB,SBX-100,NUID-SB-000766,OTT
ZTE,SB,SBX-200,NUID-SB-000767,HD
Nokia,SB,SB-Pro,NUID-SB-000768,OTT
Skyworth,SB,VisionBox,NUID-SB-000769,HD
Airtel,SB,OTT-Max,NUID-SB-000770,OTT
Huawei,SB,SBX-100,NUID-SB-000771,HD
ZTE,SB,SBX-200,NUID-SB-000772,OTT
Nokia,SB,SB-Pro,NUID-SB-000773,HD
Skyworth,SB,VisionBox,NUID-SB-000774,OTT
Airtel,SB,OTT-Max,NUID-SB-000775,HD
Huawei,SB,SBX-100,NUID-SB-000776,OTT
ZTE,SB,SBX-200,NUID-SB-000777,HD
Nokia,SB,SB-Pro,NUID-SB-000778,OTT
Skyworth,SB,VisionBox,NUID-SB-000779,HD
Airtel,SB,OTT-Max,NUID-SB-000780,OTT
Huawei,SB,SBX-100,NUID-SB-000781,HD
ZTE,SB,SBX-200,NUID-SB-000782,OTT
Nokia,SB,SB-Pro,NUID-SB-000783,HD
Skyworth,SB,VisionBox,NUID-SB-000784,OTT
Airtel,SB,OTT-Max,NUID-SB-000785,HD
Huawei,SB,SBX-100,NUID-SB-000786,OTT
ZTE,SB,SBX-200,NUID-SB-000787,HD
Nokia,SB,SB-Pro,NUID-SB-000788,OTT
Skyworth,SB,VisionBox,NUID-SB-000789,HD
Airtel,SB,OTT-Max,NUID-SB-000790,OTT
Huawei,SB,SBX-100,NUID-SB-000791,HD
ZTE,SB,SBX-200,NUID-SB-000792,OTT
Nokia,SB,SB-Pro,NUID-SB-000793,HD
Skyworth,SB,VisionBox,NUID-SB-000794,OTT
Airtel,SB,OTT-Max,NUID-SB-000795,HD
Huawei,SB,SBX-100,NUID-SB-000796,OTT
ZTE,SB,SBX-200,NUID-SB-000797,HD
Nokia,SB,SB-Pro,NUID-SB-000798,OTT
Skyworth,SB,VisionBox,NUID-SB-000799,HD
Airtel,SB,OTT-Max,NUID-SB-000800,OTT
Huawei,SB,SBX-100,NUID-SB-000801,HD
ZTE,SB,SBX-200,NUID-SB-000802,OTT
Nokia,SB,SB-Pro,NUID-SB-000803,HD
Skyworth,SB,VisionBox,NUID-SB-000804,OTT
Airtel,SB,OTT-Max,NUID-SB-000805,HD
Huawei,SB,SBX-100,NUID-SB-000806,OTT
ZTE,SB,SBX-200,NUID-SB-000807,HD
Nokia,SB,SB-Pro,NUID-SB-000808,OTT
Skyworth,SB,VisionBox,NUID-SB-000809,HD
Airtel,SB,OTT-Max,NUID-SB-000810,OTT
Huawei,SB,SBX-100,NUID-SB-000811,HD
ZTE,SB,SBX-200,NUID-SB-000812,OTT
Nokia,SB,SB-Pro,NUID-SB-000813,HD
Skyworth,SB,VisionBox,NUID-SB-000814,OTT
Airtel,SB,OTT-Max,NUID-SB-000815,HD
Huawei,SB,SBX-100,NUID-SB-000816,OTT
ZTE,SB,SBX-200,NUID-SB-000817,HD
Nokia,SB,SB-Pro,NUID-SB-000818,OTT
Skyworth,SB,VisionBox,NUID-SB-000819,HD
Airtel,SB,OTT-Max,NUID-SB-000820,OTT
Huawei,SB,SBX-100,NUID-SB-000821,HD
ZTE,SB,SBX-200,NUID-SB-000822,OTT
Nokia,SB,SB-Pro,NUID-SB-000823,HD
Skyworth,SB,VisionBox,NUID-SB-000824,OTT
Airtel,SB,OTT-Max,NUID-SB-000825,HD
Huawei,SB,SBX-100,NUID-SB-000826,OTT
ZTE,SB,SBX-200,NUID-SB-000827,HD
Nokia,SB,SB-Pro,NUID-SB-000828,OTT
Skyworth,SB,VisionBox,NUID-SB-000829,HD
Airtel,SB,OTT-Max,NUID-SB-000830,OTT
Huawei,SB,SBX-100,NUID-SB-000831,HD
ZTE,SB,SBX-200,NUID-SB-000832,OTT
Nokia,SB,SB-Pro,NUID-SB-000833,HD
Skyworth,SB,VisionBox,NUID-SB-000834,OTT
Airtel,SB,OTT-Max,NUID-SB-000835,HD
Huawei,SB,SBX-100,NUID-SB-000836,OTT
ZTE,SB,SBX-200,NUID-SB-000837,HD
Nokia,SB,SB-Pro,NUID-SB-000838,OTT
Skyworth,SB,VisionBox,NUID-SB-000839,HD
Airtel,SB,OTT-Max,NUID-SB-000840,OTT
Huawei,SB,SBX-100,NUID-SB-000841,HD
ZTE,SB,SBX-200,NUID-SB-000842,OTT
Nokia,SB,SB-Pro,NUID-SB-000843,HD
Skyworth,SB,VisionBox,NUID-SB-000844,OTT
Airtel,SB,OTT-Max,NUID-SB-000845,HD
Huawei,SB,SBX-100,NUID-SB-000846,OTT
ZTE,SB,SBX-200,NUID-SB-000847,HD
Nokia,SB,SB-Pro,NUID-SB-000848,OTT
Skyworth,SB,VisionBox,NUID-SB-000849,HD
Airtel,SB,OTT-Max,NUID-SB-000850,OTT
Huawei,SB,SBX-100,NUID-SB-000851,HD
ZTE,SB,SBX-200,NUID-SB-000852,OTT
Nokia,SB,SB-Pro,NUID-SB-000853,HD
Skyworth,SB,VisionBox,NUID-SB-000854,OTT
Airtel,SB,OTT-Max,NUID-SB-000855,HD
Huawei,SB,SBX-100,NUID-SB-000856,OTT
ZTE,SB,SBX-200,NUID-SB-000857,HD
Nokia,SB,SB-Pro,NUID-SB-000858,OTT
Skyworth,SB,VisionBox,NUID-SB-000859,HD
Airtel,SB,OTT-Max,NUID-SB-000860,OTT
Huawei,SB,SBX-100,NUID-SB-000861,HD
ZTE,SB,SBX-200,NUID-SB-000862,OTT
Nokia,SB,SB-Pro,NUID-SB-000863,HD
Skyworth,SB,VisionBox,NUID-SB-000864,OTT
Airtel,SB,OTT-Max,NUID-SB-000865,HD
Huawei,SB,SBX-100,NUID-SB-000866,OTT
ZTE,SB,SBX-200,NUID-SB-000867,HD
Nokia,SB,SB-Pro,NUID-SB-000868,OTT
Skyworth,SB,VisionBox,NUID-SB-000869,HD
Airtel,SB,OTT-Max,NUID-SB-000870,OTT
Huawei,SB,SBX-100,NUID-SB-000871,HD
ZTE,SB,SBX-200,NUID-SB-000872,OTT
Nokia,SB,SB-Pro,NUID-SB-000873,HD
Skyworth,SB,VisionBox,NUID-SB-000874,OTT
Airtel,SB,OTT-Max,NUID-SB-000875,HD
Huawei,SB,SBX-100,NUID-SB-000876,OTT
ZTE,SB,SBX-200,NUID-SB-000877,HD
Nokia,SB,SB-Pro,NUID-SB-000878,OTT
Skyworth,SB,VisionBox,NUID-SB-000879,HD
Airtel,SB,OTT-Max,NUID-SB-000880,OTT
Huawei,SB,SBX-100,NUID-SB-000881,HD
ZTE,SB,SBX-200,NUID-SB-000882,OTT
Nokia,SB,SB-Pro,NUID-SB-000883,HD
Skyworth,SB,VisionBox,NUID-SB-000884,OTT
Airtel,SB,OTT-Max,NUID-SB-000885,HD
Huawei,SB,SBX-100,NUID-SB-000886,OTT
ZTE,SB,SBX-200,NUID-SB-000887,HD
Nokia,SB,SB-Pro,NUID-SB-000888,OTT
Skyworth,SB,VisionBox,NUID-SB-000889,HD
Airtel,SB,OTT-Max,NUID-SB-000890,OTT
Huawei,SB,SBX-100,NUID-SB-000891,HD
ZTE,SB,SBX-200,NUID-SB-000892,OTT
Nokia,SB,SB-Pro,NUID-SB-000893,HD
Skyworth,SB,VisionBox,NUID-SB-000894,OTT
Airtel,SB,OTT-Max,NUID-SB-000895,HD
Huawei,SB,SBX-100,NUID-SB-000896,OTT
ZTE,SB,SBX-200,NUID-SB-000897,HD
Nokia,SB,SB-Pro,NUID-SB-000898,OTT
Skyworth,SB,VisionBox,NUID-SB-000899,HD
Airtel,SB,OTT-Max,NUID-SB-000900,OTT
Huawei,SB,SBX-100,NUID-SB-000901,HD
ZTE,SB,SBX-200,NUID-SB-000902,OTT
Nokia,SB,SB-Pro,NUID-SB-000903,HD
Skyworth,SB,VisionBox,NUID-SB-000904,OTT
Airtel,SB,OTT-Max,NUID-SB-000905,HD
Huawei,SB,SBX-100,NUID-SB-000906,OTT
ZTE,SB,SBX-200,NUID-SB-000907,HD
Nokia,SB,SB-Pro,NUID-SB-000908,OTT
Skyworth,SB,VisionBox,NUID-SB-000909,HD
Airtel,SB,OTT-Max,NUID-SB-000910,OTT
Huawei,SB,SBX-100,NUID-SB-000911,HD
ZTE,SB,SBX-200,NUID-SB-000912,OTT
Nokia,SB,SB-Pro,NUID-SB-000913,HD
Skyworth,SB,VisionBox,NUID-SB-000914,OTT
Airtel,SB,OTT-Max,NUID-SB-000915,HD
Huawei,SB,SBX-100,NUID-SB-000916,OTT
ZTE,SB,SBX-200,NUID-SB-000917,HD
Nokia,SB,SB-Pro,NUID-SB-000918,OTT
Skyworth,SB,VisionBox,NUID-SB-000919,HD
Airtel,SB,OTT-Max,NUID-SB-000920,OTT
Huawei,SB,SBX-100,NUID-SB-000921,HD
ZTE,SB,SBX-200,NUID-SB-000922,OTT
Nokia,SB,SB-Pro,NUID-SB-000923,HD
Skyworth,SB,VisionBox,NUID-SB-000924,OTT
Airtel,SB,OTT-Max,NUID-SB-000925,HD
Huawei,SB,SBX-100,NUID-SB-000926,OTT
ZTE,SB,SBX-200,NUID-SB-000927,HD
Nokia,SB,SB-Pro,NUID-SB-000928,OTT
Skyworth,SB,VisionBox,NUID-SB-000929,HD
Airtel,SB,OTT-Max,NUID-SB-000930,OTT
Huawei,SB,SBX-100,NUID-SB-000931,HD
ZTE,SB,SBX-200,NUID-SB-000932,OTT
Nokia,SB,SB-Pro,NUID-SB-000933,HD
Skyworth,SB,VisionBox,NUID-SB-000934,OTT
Airtel,SB,OTT-Max,NUID-SB-000935,HD
Huawei,SB,SBX-100,NUID-SB-000936,OTT
ZTE,SB,SBX-200,NUID-SB-000937,HD
Nokia,SB,SB-Pro,NUID-SB-000938,OTT
Skyworth,SB,VisionBox,NUID-SB-000939,HD
Airtel,SB,OTT-Max,NUID-SB-000940,OTT
Huawei,SB,SBX-100,NUID-SB-000941,HD
ZTE,SB,SBX-200,NUID-SB-000942,OTT
Nokia,SB,SB-Pro,NUID-SB-000943,HD
Skyworth,SB,VisionBox,NUID-SB-000944,OTT
Airtel,SB,OTT-Max,NUID-SB-000945,HD
Huawei,SB,SBX-100,NUID-SB-000946,OTT
ZTE,SB,SBX-200,NUID-SB-000947,HD
Nokia,SB,SB-Pro,NUID-SB-000948,OTT
Skyworth,SB,VisionBox,NUID-SB-000949,HD
Airtel,SB,OTT-Max,NUID-SB-000950,OTT
Huawei,SB,SBX-100,NUID-SB-000951,HD
ZTE,SB,SBX-200,NUID-SB-000952,OTT
Nokia,SB,SB-Pro,NUID-SB-000953,HD
Skyworth,SB,VisionBox,NUID-SB-000954,OTT
Airtel,SB,OTT-Max,NUID-SB-000955,HD
Huawei,SB,SBX-100,NUID-SB-000956,OTT
ZTE,SB,SBX-200,NUID-SB-000957,HD
Nokia,SB,SB-Pro,NUID-SB-000958,OTT
Skyworth,SB,VisionBox,NUID-SB-000959,HD
Airtel,SB,OTT-Max,NUID-SB-000960,OTT
Huawei,SB,SBX-100,NUID-SB-000961,HD
ZTE,SB,SBX-200,NUID-SB-000962,OTT
Nokia,SB,SB-Pro,NUID-SB-000963,HD
Skyworth,SB,VisionBox,NUID-SB-000964,OTT
Airtel,SB,OTT-Max,NUID-SB-000965,HD
Huawei,SB,SBX-100,NUID-SB-000966,OTT
ZTE,SB,SBX-200,NUID-SB-000967,HD
Nokia,SB,SB-Pro,NUID-SB-000968,OTT
Skyworth,SB,VisionBox,NUID-SB-000969,HD
Airtel,SB,OTT-Max,NUID-SB-000970,OTT
Huawei,SB,SBX-100,NUID-SB-000971,HD
ZTE,SB,SBX-200,NUID-SB-000972,OTT
Nokia,SB,SB-Pro,NUID-SB-000973,HD
Skyworth,SB,VisionBox,NUID-SB-000974,OTT
Airtel,SB,OTT-Max,NUID-SB-000975,HD
Huawei,SB,SBX-100,NUID-SB-000976,OTT
ZTE,SB,SBX-200,NUID-SB-000977,HD
Nokia,SB,SB-Pro,NUID-SB-000978,OTT
Skyworth,SB,VisionBox,NUID-SB-000979,HD
Airtel,SB,OTT-Max,NUID-SB-000980,OTT
Huawei,SB,SBX-100,NUID-SB-000981,HD
ZTE,SB,SBX-200,NUID-SB-000982,OTT
Nokia,SB,SB-Pro,NUID-SB-000983,HD
Skyworth,SB,VisionBox,NUID-SB-000984,OTT
Airtel,SB,OTT-Max,NUID-SB-000985,HD
Huawei,SB,SBX-100,NUID-SB-000986,OTT
ZTE,SB,SBX-200,NUID-SB-000987,HD
Nokia,SB,SB-Pro,NUID-SB-000988,OTT
Skyworth,SB,VisionBox,NUID-SB-000989,HD
Airtel,SB,OTT-Max,NUID-SB-000990,OTT
Huawei,SB,SBX-100,NUID-SB-000991,HD
ZTE,SB,SBX-200,NUID-SB-000992,OTT
Nokia,SB,SB-Pro,NUID-SB-000993,HD
Skyworth,SB,VisionBox,NUID-SB-000994,OTT
